"priority","pdfIndex","packId","category","question","truncatedPackAnswer","fullPdfAnswer","sourcePriority","recommendedAction","aiSuggestedDecision","aiConfidence","aiReason","humanNeedsReview","reviewerDecision","notes"
"P2_PACK_ANSWER_TRUNCATED","29","q_1165a3f6","Mecánica y mantenimiento","¿Se produce la fuerza máxima de combustión al pisar el acelerador a fondo?","No, pues aunque se inyecte la máxima cantida","No, pues, aunque se inyecte la máxima cantidad de carburante, no hay suficiente aire ni tiempo para quemarlo.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","12","q_3f2ecd67","Conducción racional","¿Qué actuación es correcta para optimizar el consumo de carburante?","Hacer un buen uso de los diferentes sistemas de freno, únicamente.","Hacer un buen uso de los diferentes sistemas de freno, del motor y de la caja de velocidades, dependiendo de cada situación.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","24","q_3be2b592","Mecánica y mantenimiento","La eficacia del ralentizador eléctrico aumenta si aumenta…","la cantida","la cantidad de electricidad suministrada por la batería.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","216","q_9435604c","Mecánica y mantenimiento","Los ralentizadores evitan el fenómeno ""fading"" porque:","reducen la velocida","reducen la velocidad del vehículo sin que exista rozamiento entre las piezas del sistema de frenado de servicio.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","1","q_04374286","Mecánica y mantenimiento","¿A qué se deben principalmente las pérdidas energéticas que se producen en la transmisión?","Al rozamiento.","Al rozamiento de sus elementos.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","5","q_964bf835","Seguridad vial","¿Qué elementos de seguridad de los vehículos requieren la acción física del conductor?","Algunos elementos de segurida","Algunos elementos de seguridad activa, ya que los de seguridad pasiva actúan automáticamente.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","40","q_b60cc86a","Seguridad vial","¿Cómo deben ser los elementos de seguridad instalados en todos los vehículos?","De segurida","De seguridad activa y pasiva.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","132","q_8287704e","Normativa de transportes","Si, en un control en carretera, los agentes encargados del control detectan durante su comisión un exceso de conducción diario considerado grave, ¿qué deberán hacer?","Proceder a denunciar la correspondiente infracción.","Proceder a denunciar la correspondiente infracción y a inmovilizar el vehículo hasta que el conductor realice el descanso obligatorio.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","165","q_909304b8","Tacógrafo y tiempos","¿Qué autocar está exento de la utilización del tacógrafo?","Un autocar de la Guardia Civil.","Un autocar de la Guardia Civil para el transporte de su personal.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","364","q_e603c42b","Normativa de transportes","Según la normativa laboral española, cuando un conductor acompaña a un vehículo en un transbordador, el tiempo empleado está considerado como:","tiempo de presencia.","tiempo de presencia cuando se haya comunicado su duración de antemano.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","402","q_de3b1cdf","Normativa de transportes","Un vehículo que pertenece a Correos, si no supera 7.500 kg de masa máxima autorizada y es conducido por personal de reparto, está:","exento de utilizar el tacógrafo siempre que no supere un radio de 50 km.","exento de utilizar el tacógrafo siempre que el transporte no supere un radio de 100 km alrededor del centro de explotación de la empresa.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","434","q_0c3a0c5a","Documentación","¿Cuántas horas de conducción individual son necesarias efectuar en los cursos de cualificación inicial para obtener el certificado de aptitud profesional?","20 en la modalida","20 en la modalidad ordinaria y 10 en la acelerada.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","479","q_703578e6","Tacógrafo y tiempos","De los siguientes vehículos, ¿cuáles están exentos de la instalación y uso del tacógrafo?","Los vehículos con una velocida","Los vehículos con una velocidad máxima autorizada no superior a 40 km/h.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","553","q_944ee169","Tacógrafo y tiempos","Un conductor que realice un único viaje de transporte discrecional internacional de viajeros puede posponer el descanso semanal hasta 12 jornadas desde el final del período de descanso semanal normal anterior:","si después realiza dos descansos semanales","si después realiza dos descansos semanales normales consecutivos o bien uno normal y uno reducido que después tendrá que recuperar.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","85","q_8cf50aa9","Normativa de transportes","¿A partir de qué nivel de alcohol en sangre se producen efectos directos en el cerebro?","0,3 gramos por litro.","0,3 gramos por litro o incluso inferiores.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""
"P2_PACK_ANSWER_TRUNCATED","15","q_de2a0bf2","Seguridad vial","¿Qué es lo primero que debemos hacer en caso de accidente?","Preservar la segurida","Preservar la seguridad de la zona del accidente.","PDF_AUTOESCOLA_PRIMARY_TRUNCATED_FIX","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is clearly truncated mid-sentence. PDF has the complete official text.","false","",""